PersonId,PersonName,PersonAge,CityId
10261,AKB,65,50
10262,AKC,21,27
10263,AKD,42,61
10264,AKE,62,34
10265,AKF,49,82
10266,AKG,23,10
10267,AKH,26,33
10268,AKI,49,68
10269,AKJ,28,5
10270,AKK,57,99
10271,AKL,26,46
10272,AKM,57,69
10273,AKN,53,19
10274,AKO,31,63
10275,AKP,47,72
10276,AKQ,43,37
10277,AKR,48,36
10278,AKS,23,90
10279,AKT,22,90
10280,AKU,23,22
10281,AKV,57,45
10282,AKW,43,23
10283,AKX,42,95
10284,AKY,52,49
10285,AKZ,49,89
10286,ALA,44,3
10287,ALB,24,30
10288,ALC,23,30
10289,ALD,53,35
10290,ALE,48,70
10291,ALF,61,84
10292,ALG,41,62
10293,ALH,34,12
10294,ALI,27,34
10295,ALJ,56,40
10296,ALK,63,55
10297,ALL,30,2
10298,ALM,61,87
10299,ALN,44,63
10300,ALO,36,34
10301,ALP,47,66
10302,ALQ,53,20
10303,ALR,42,12
10304,ALS,45,87
10305,ALT,60,48
10306,ALU,61,89
10307,ALV,64,34
10308,ALW,41,61
10309,ALX,41,20
10310,ALY,52,81
10311,ALZ,37,10
10312,AMA,26,92
10313,AMB,21,21
10314,AMC,33,57
10315,AMD,33,33
10316,AME,22,45
10317,AMF,51,71
10318,AMG,23,47
10319,AMH,40,99
10320,AMI,56,71
10321,AMJ,25,26
10322,AMK,34,15
10323,AML,65,52
10324,AMM,35,45
10325,AMN,33,35
10326,AMO,20,3
10327,AMP,61,55
10328,AMQ,45,4
10329,AMR,55,77
10330,AMS,42,86
10331,AMT,58,82
10332,AMU,31,37
10333,AMV,53,5
10334,AMW,21,54
10335,AMX,46,4
10336,AMY,53,79
10337,AMZ,20,27
10338,ANA,60,81
10339,ANB,28,17
10340,ANC,61,90
10341,AND,54,15
10342,ANE,33,73
10343,ANF,18,43
10344,ANG,19,11
10345,ANH,52,26
10346,ANI,46,78
10347,ANJ,50,76
10348,ANK,25,71
10349,ANL,48,21
10350,ANM,28,29
10351,ANN,19,91
10352,ANO,49,79
10353,ANP,59,68
10354,ANQ,49,6
10355,ANR,38,70
10356,ANS,51,67
10357,ANT,27,68
10358,ANU,48,16
10359,ANV,47,72
10360,ANW,25,50
10361,ANX,57,37
10362,ANY,43,41
10363,ANZ,53,44
10364,AOA,45,68
10365,AOB,35,76
10366,AOC,20,86
10367,AOD,57,49
10368,AOE,38,94
10369,AOF,65,69
10370,AOG,21,17
10371,AOH,26,76
10372,AOI,21,38
10373,AOJ,20,53
10374,AOK,18,29
10375,AOL,64,2
10376,AOM,29,50
10377,AON,63,74
10378,AOO,42,48
10379,AOP,62,27
10380,AOQ,29,96
10381,AOR,46,2
10382,AOS,57,83
10383,AOT,43,35
10384,AOU,59,51
10385,AOV,41,86
10386,AOW,58,8
10387,AOX,42,18
10388,AOY,60,22
10389,AOZ,42,12
10390,APA,58,55
10391,APB,64,37
10392,APC,28,42
10393,APD,39,35
10394,APE,25,11
10395,APF,43,26
10396,APG,38,89
10397,APH,50,86
10398,API,57,29
10399,APJ,22,51
10400,APK,60,81
10401,APL,40,29
10402,APM,20,39
10403,APN,22,15
10404,APO,39,9
10405,APP,35,59
10406,APQ,50,55
10407,APR,33,11
10408,APS,63,3
10409,APT,55,9
10410,APU,59,37
10411,APV,49,16
10412,APW,23,8
10413,APX,57,68
10414,APY,30,32
10415,APZ,52,20
10416,AQA,61,35
10417,AQB,37,40
10418,AQC,51,76
10419,AQD,35,56
10420,AQE,20,93
10421,AQF,37,51
10422,AQG,21,39
10423,AQH,31,5
10424,AQI,54,22
10425,AQJ,47,46
10426,AQK,32,8
10427,AQL,45,70
10428,AQM,65,14
10429,AQN,50,17
10430,AQO,48,27
10431,AQP,39,26
10432,AQQ,24,36
10433,AQR,43,44
10434,AQS,51,29
10435,AQT,27,96
10436,AQU,56,4
10437,AQV,51,24
10438,AQW,25,24
10439,AQX,35,37
10440,AQY,23,12
10441,AQZ,38,35
10442,ARA,60,51
10443,ARB,47,58
10444,ARC,49,85
10445,ARD,21,13
10446,ARE,59,82
10447,ARF,22,61
10448,ARG,27,71
10449,ARH,61,4
10450,ARI,28,9
10451,ARJ,59,26
10452,ARK,63,18
10453,ARL,55,41
10454,ARM,22,43
10455,ARN,56,50
10456,ARO,57,16
10457,ARP,23,71
10458,ARQ,41,58
10459,ARR,35,55
10460,ARS,26,82
10461,ART,60,25
10462,ARU,63,20
10463,ARV,59,61
10464,ARW,54,28
10465,ARX,58,38
10466,ARY,64,25
10467,ARZ,33,31
10468,ASA,28,6
10469,ASB,44,92
10470,ASC,55,2
10471,ASD,36,7
10472,ASE,41,28
10473,ASF,39,10
10474,ASG,47,26
10475,ASH,58,51
10476,ASI,58,80
10477,ASJ,41,3
10478,ASK,41,67
10479,ASL,48,23
10480,ASM,21,58
10481,ASN,19,35
10482,ASO,24,53
10483,ASP,22,65
10484,ASQ,59,21
10485,ASR,49,45
10486,ASS,38,74
10487,AST,59,87
10488,ASU,56,48
10489,ASV,50,95
10490,ASW,53,55
10491,ASX,18,16
10492,ASY,51,36
10493,ASZ,49,43
10494,ATA,63,81
10495,ATB,18,12
10496,ATC,61,87
10497,ATD,27,58
10498,ATE,57,92
10499,ATF,54,77
10500,ATG,60,70
10501,ATH,33,65
10502,ATI,61,27
10503,ATJ,47,49
10504,ATK,28,13
10505,ATL,52,26
10506,ATM,18,87
10507,ATN,21,64
10508,ATO,21,28
10509,ATP,30,28
10510,ATQ,27,28
10511,ATR,18,85
10512,ATS,48,49
10513,ATT,26,58
10514,ATU,27,30
10515,ATV,56,57
10516,ATW,38,51
10517,ATX,35,69
10518,ATY,47,36
10519,ATZ,51,94
10520,AUA,42,71
10521,AUB,65,18
10522,AUC,54,34
10523,AUD,63,53
10524,AUE,53,50
10525,AUF,55,68
10526,AUG,45,44
10527,AUH,55,2
10528,AUI,59,62
10529,AUJ,21,83
10530,AUK,56,56
10531,AUL,61,50
10532,AUM,65,10
10533,AUN,43,25
10534,AUO,19,98
10535,AUP,27,30
10536,AUQ,42,90
10537,AUR,50,12
10538,AUS,42,43
10539,AUT,49,48
10540,AUU,27,80
10541,AUV,33,86
10542,AUW,44,56
10543,AUX,20,31
10544,AUY,34,52
10545,AUZ,19,64
10546,AVA,51,29
10547,AVB,27,8
10548,AVC,35,8
10549,AVD,55,31
10550,AVE,59,26
10551,AVF,33,96
10552,AVG,63,93
10553,AVH,41,91
10554,AVI,28,33
10555,AVJ,36,68
10556,AVK,41,47
10557,AVL,35,36
10558,AVM,31,54
10559,AVN,57,90
10560,AVO,38,88
10561,AVP,49,36
10562,AVQ,23,95
10563,AVR,42,71
10564,AVS,34,71
10565,AVT,57,70
10566,AVU,58,25
10567,AVV,22,86
10568,AVW,47,66
10569,AVX,34,41
10570,AVY,28,73
10571,AVZ,53,98
10572,AWA,59,39
10573,AWB,29,60
10574,AWC,45,23
10575,AWD,60,25
10576,AWE,44,38
10577,AWF,35,48
10578,AWG,54,21
10579,AWH,40,25
10580,AWI,36,21
10581,AWJ,24,93
10582,AWK,51,81
10583,AWL,40,92
10584,AWM,63,77
10585,AWN,28,50
10586,AWO,50,84
10587,AWP,44,37
10588,AWQ,30,6
10589,AWR,18,27
10590,AWS,31,16
10591,AWT,33,32
10592,AWU,43,8
10593,AWV,31,45
10594,AWW,65,67
10595,AWX,49,43
10596,AWY,28,17
10597,AWZ,24,35
10598,AXA,44,79
10599,AXB,62,91
10600,AXC,40,67
10601,AXD,25,14
10602,AXE,35,98
10603,AXF,20,3
10604,AXG,51,2
10605,AXH,35,84
10606,AXI,50,50
10607,AXJ,21,89
10608,AXK,60,39
10609,AXL,62,79
10610,AXM,56,17
10611,AXN,41,44
10612,AXO,57,12
10613,AXP,23,16
10614,AXQ,20,40
10615,AXR,35,69
10616,AXS,31,63
10617,AXT,53,98
10618,AXU,61,60
10619,AXV,49,97
10620,AXW,29,39
10621,AXX,48,56
10622,AXY,43,64
10623,AXZ,56,31
10624,AYA,60,76
10625,AYB,43,24
10626,AYC,34,65
10627,AYD,44,5
10628,AYE,58,32
10629,AYF,20,9
10630,AYG,37,71
10631,AYH,48,18
10632,AYI,44,86
10633,AYJ,43,50
10634,AYK,45,77
10635,AYL,62,97
10636,AYM,47,1
10637,AYN,52,68
10638,AYO,44,70
10639,AYP,30,51
10640,AYQ,64,54
10641,AYR,63,92
10642,AYS,22,61
10643,AYT,43,39
10644,AYU,39,56
10645,AYV,18,14
10646,AYW,58,24
10647,AYX,53,84
10648,AYY,52,63
10649,AYZ,60,2
10650,AZA,39,9
10651,AZB,46,57
10652,AZC,54,48
10653,AZD,40,89
10654,AZE,27,89
10655,AZF,54,80
10656,AZG,20,40
10657,AZH,53,8
10658,AZI,31,33
10659,AZJ,21,69
10660,AZK,57,68
10661,AZL,56,67
10662,AZM,26,58
10663,AZN,48,31
10664,AZO,37,69
10665,AZP,39,47
10666,AZQ,62,53
10667,AZR,40,14
10668,AZS,24,39
10669,AZT,60,83
10670,AZU,55,49
10671,AZV,42,92
10672,AZW,61,87
10673,AZX,29,7
10674,AZY,36,64
10675,AZZ,28,19
10676,BAA,23,3
10677,BAB,40,30
10678,BAC,30,64
10679,BAD,55,3
10680,BAE,27,47
10681,BAF,37,88
10682,BAG,54,10
10683,BAH,57,87
10684,BAI,53,16
10685,BAJ,52,40
10686,BAK,24,77
10687,BAL,21,88
10688,BAM,47,40
10689,BAN,25,45
10690,BAO,57,74
10691,BAP,23,45
10692,BAQ,55,36
10693,BAR,63,61
10694,BAS,43,42
10695,BAT,55,4
10696,BAU,47,23
10697,BAV,45,80
10698,BAW,63,43
10699,BAX,18,10
10700,BAY,63,80
10701,BAZ,49,9
10702,BBA,59,40
10703,BBB,41,34
10704,BBC,22,13
10705,BBD,56,53
10706,BBE,65,51
10707,BBF,25,66
10708,BBG,27,66
10709,BBH,57,44
10710,BBI,46,4
10711,BBJ,19,89
10712,BBK,29,92
10713,BBL,49,42
10714,BBM,44,43
10715,BBN,44,20
10716,BBO,56,64
10717,BBP,36,81
10718,BBQ,27,63
10719,BBR,21,72
10720,BBS,25,59
10721,BBT,50,45
10722,BBU,62,80
10723,BBV,34,76
10724,BBW,24,74
10725,BBX,50,85
10726,BBY,38,52
10727,BBZ,65,52
10728,BCA,18,6
10729,BCB,28,6
10730,BCC,50,48
10731,BCD,19,52
10732,BCE,56,95
10733,BCF,57,94
10734,BCG,58,64
10735,BCH,31,21
10736,BCI,49,93
10737,BCJ,44,47
10738,BCK,58,92
10739,BCL,62,89
10740,BCM,24,45
10741,BCN,29,34
10742,BCO,37,99
10743,BCP,45,87
10744,BCQ,38,89
10745,BCR,34,23
10746,BCS,65,12
10747,BCT,18,34
10748,BCU,64,91
10749,BCV,45,96
10750,BCW,60,92
10751,BCX,37,63
10752,BCY,55,4
10753,BCZ,26,41
10754,BDA,61,19
10755,BDB,33,31
10756,BDC,62,37
10757,BDD,39,99
10758,BDE,46,37
10759,BDF,54,80
10760,BDG,27,42
10761,BDH,58,47
10762,BDI,49,65
10763,BDJ,40,32
10764,BDK,42,85
10765,BDL,47,91
10766,BDM,26,81
10767,BDN,21,50
10768,BDO,19,68
10769,BDP,44,62
10770,BDQ,56,98
10771,BDR,42,27
10772,BDS,58,31
10773,BDT,37,79
10774,BDU,53,95
10775,BDV,45,8
10776,BDW,48,70
10777,BDX,31,35
10778,BDY,60,37
10779,BDZ,62,84
10780,BEA,39,72
10781,BEB,34,88
10782,BEC,55,73
10783,BED,21,25
10784,BEE,42,31
10785,BEF,56,5
10786,BEG,46,6
10787,BEH,34,55
10788,BEI,44,71
10789,BEJ,31,98
10790,BEK,40,16
10791,BEL,24,84
10792,BEM,32,39
10793,BEN,45,93
10794,BEO,61,78
10795,BEP,39,42
10796,BEQ,64,39
10797,BER,50,42
10798,BES,38,78
10799,BET,36,58
10800,BEU,32,8
10801,BEV,56,43
10802,BEW,57,60
10803,BEX,28,48
10804,BEY,45,76
10805,BEZ,48,75
10806,BFA,57,17
10807,BFB,54,4
10808,BFC,51,16
10809,BFD,49,38
10810,BFE,54,59
10811,BFF,48,83
10812,BFG,18,96
10813,BFH,47,8
10814,BFI,22,14
10815,BFJ,18,61
10816,BFK,24,93
10817,BFL,63,13
10818,BFM,45,55
10819,BFN,27,11
10820,BFO,27,1
10821,BFP,44,56
10822,BFQ,64,34
10823,BFR,22,58
10824,BFS,42,30
10825,BFT,29,45
10826,BFU,51,93
10827,BFV,19,78
10828,BFW,54,85
10829,BFX,37,34
10830,BFY,38,27
10831,BFZ,61,38
10832,BGA,23,36
10833,BGB,40,74
10834,BGC,43,28
10835,BGD,34,91
10836,BGE,34,1
10837,BGF,21,5
10838,BGG,60,80
10839,BGH,52,44
10840,BGI,57,11
10841,BGJ,26,14
10842,BGK,51,61
10843,BGL,21,73
10844,BGM,23,41
10845,BGN,37,19
10846,BGO,39,95
10847,BGP,61,17
10848,BGQ,40,48
10849,BGR,60,34
10850,BGS,58,76
10851,BGT,38,37
10852,BGU,37,47
10853,BGV,25,11
10854,BGW,63,16
10855,BGX,25,62
10856,BGY,59,67
10857,BGZ,33,40
10858,BHA,25,29
10859,BHB,62,90
10860,BHC,18,81
10861,BHD,24,88
10862,BHE,29,59
10863,BHF,18,2
10864,BHG,25,62
10865,BHH,43,54
10866,BHI,62,43
10867,BHJ,29,87
10868,BHK,50,63
10869,BHL,65,37
10870,BHM,47,89
10871,BHN,50,68
10872,BHO,46,96
10873,BHP,22,17
10874,BHQ,60,58
10875,BHR,64,26
10876,BHS,65,57
10877,BHT,33,35
10878,BHU,18,55
10879,BHV,35,54
10880,BHW,47,71
10881,BHX,63,63
10882,BHY,45,92
10883,BHZ,52,4
10884,BIA,26,55
10885,BIB,24,68
10886,BIC,35,75
10887,BID,57,89
10888,BIE,56,93
10889,BIF,31,40
10890,BIG,43,28
10891,BIH,51,79
10892,BII,22,67
10893,BIJ,52,14
10894,BIK,22,95
10895,BIL,52,10
10896,BIM,45,65
10897,BIN,38,36
10898,BIO,48,69
10899,BIP,39,59
10900,BIQ,49,23
10901,BIR,54,40
10902,BIS,55,56
10903,BIT,47,28
10904,BIU,26,74
10905,BIV,39,94
10906,BIW,36,18
10907,BIX,19,40
10908,BIY,30,84
10909,BIZ,27,75
10910,BJA,62,82
10911,BJB,54,73
10912,BJC,42,85
10913,BJD,63,83
10914,BJE,38,70
10915,BJF,21,15
10916,BJG,18,97
10917,BJH,38,76
10918,BJI,31,91
10919,BJJ,57,8
10920,BJK,55,4
10921,BJL,35,64
10922,BJM,58,16
10923,BJN,20,69
10924,BJO,19,50
10925,BJP,27,3
10926,BJQ,54,59
10927,BJR,31,60
10928,BJS,18,95
10929,BJT,45,87
10930,BJU,41,18
10931,BJV,62,48
10932,BJW,51,51
10933,BJX,42,23
10934,BJY,59,34
10935,BJZ,43,41
10936,BKA,64,38
10937,BKB,65,80
10938,BKC,52,1
10939,BKD,35,2
10940,BKE,62,53
10941,BKF,18,33
10942,BKG,56,89
10943,BKH,26,51
10944,BKI,49,64
10945,BKJ,22,54
10946,BKK,46,28
10947,BKL,23,28
10948,BKM,46,38
10949,BKN,58,91
10950,BKO,34,3
10951,BKP,39,49
10952,BKQ,40,12
10953,BKR,37,41
10954,BKS,48,10
10955,BKT,55,78
10956,BKU,45,36
10957,BKV,52,58
10958,BKW,21,48
10959,BKX,21,91
10960,BKY,58,28
10961,BKZ,63,59
10962,BLA,46,14
10963,BLB,61,51
10964,BLC,22,79
10965,BLD,51,93
10966,BLE,59,69
10967,BLF,41,92
10968,BLG,42,29
10969,BLH,18,94
10970,BLI,37,28
10971,BLJ,49,76
10972,BLK,57,51
10973,BLL,23,66
10974,BLM,43,40
10975,BLN,60,81
10976,BLO,24,34
10977,BLP,58,44
10978,BLQ,44,26
10979,BLR,63,68
10980,BLS,38,22
10981,BLT,43,51
10982,BLU,22,35
10983,BLV,37,15
10984,BLW,35,86
10985,BLX,62,12
10986,BLY,47,38
10987,BLZ,46,24
10988,BMA,48,58
10989,BMB,46,78
10990,BMC,35,82
10991,BMD,26,24
10992,BME,19,61
10993,BMF,34,94
10994,BMG,48,31
10995,BMH,22,87
10996,BMI,32,6
10997,BMJ,24,78
10998,BMK,65,41
10999,BML,42,75
11000,BMM,51,7
11001,BMN,44,70
11002,BMO,58,14
11003,BMP,42,45
11004,BMQ,39,82
11005,BMR,64,65
11006,BMS,38,36
11007,BMT,32,28
11008,BMU,49,37
11009,BMV,20,28
11010,BMW,61,38
11011,BMX,38,42
11012,BMY,47,86
11013,BMZ,44,67
11014,BNA,21,54
11015,BNB,32,7
11016,BNC,19,12
11017,BND,47,90
11018,BNE,36,96
11019,BNF,20,48
11020,BNG,49,48
11021,BNH,43,73
11022,BNI,59,56
11023,BNJ,25,3
11024,BNK,48,13
11025,BNL,32,83
11026,BNM,35,88
11027,BNN,64,57
11028,BNO,51,6
11029,BNP,60,82
11030,BNQ,29,89
11031,BNR,55,80
11032,BNS,20,87
11033,BNT,53,17
11034,BNU,56,53
11035,BNV,41,97
11036,BNW,41,70
11037,BNX,50,60
11038,BNY,51,86
11039,BNZ,39,65
11040,BOA,37,38
11041,BOB,58,56
11042,BOC,57,25
11043,BOD,27,2
11044,BOE,55,55
11045,BOF,65,47
11046,BOG,56,41
11047,BOH,63,30
11048,BOI,38,84
11049,BOJ,52,91
11050,BOK,56,18
11051,BOL,36,45
11052,BOM,44,93
11053,BON,58,56
11054,BOO,53,7
11055,BOP,32,27
11056,BOQ,22,10
11057,BOR,62,68
11058,BOS,33,86
11059,BOT,52,62
11060,BOU,25,91
11061,BOV,31,12
11062,BOW,59,59
11063,BOX,22,56
11064,BOY,35,13
11065,BOZ,24,94
11066,BPA,58,16
11067,BPB,18,47
11068,BPC,30,64
11069,BPD,30,10
11070,BPE,36,41
11071,BPF,53,12
11072,BPG,25,25
11073,BPH,35,21
11074,BPI,52,42
11075,BPJ,52,1
11076,BPK,20,2
11077,BPL,43,22
11078,BPM,18,19
11079,BPN,36,53
11080,BPO,49,9
11081,BPP,57,68
11082,BPQ,51,14
11083,BPR,43,11
11084,BPS,46,94
11085,BPT,51,81
11086,BPU,47,85
11087,BPV,53,20
11088,BPW,33,59
11089,BPX,35,14
11090,BPY,49,24
11091,BPZ,26,39
11092,BQA,58,51
11093,BQB,20,6
11094,BQC,53,51
11095,BQD,24,79
11096,BQE,65,97
11097,BQF,38,7
11098,BQG,27,64
11099,BQH,45,4
11100,BQI,30,77
11101,BQJ,53,44
11102,BQK,48,39
11103,BQL,60,84
11104,BQM,55,59
11105,BQN,20,60
11106,BQO,31,52
11107,BQP,38,76
11108,BQQ,40,74
11109,BQR,25,50
11110,BQS,61,21
11111,BQT,57,68
11112,BQU,21,55
11113,BQV,20,58
11114,BQW,49,28
11115,BQX,39,89
11116,BQY,57,7
11117,BQZ,51,29
11118,BRA,58,52
11119,BRB,31,98
11120,BRC,61,5
11121,BRD,28,17
11122,BRE,46,3
11123,BRF,64,26
11124,BRG,52,58
11125,BRH,46,63
11126,BRI,26,92
11127,BRJ,39,30
11128,BRK,63,73
11129,BRL,38,35
11130,BRM,29,12
11131,BRN,33,45
11132,BRO,48,21
11133,BRP,46,42
11134,BRQ,29,9
11135,BRR,20,68
11136,BRS,59,16
11137,BRT,53,79
11138,BRU,29,99
11139,BRV,30,43
11140,BRW,61,91
11141,BRX,41,42
11142,BRY,36,55
11143,BRZ,26,43
11144,BSA,36,68
11145,BSB,54,30
11146,BSC,35,16
11147,BSD,42,23
11148,BSE,32,56
11149,BSF,40,86
11150,BSG,20,1
11151,BSH,45,79
11152,BSI,26,29
11153,BSJ,42,16
11154,BSK,58,42
11155,BSL,46,40
11156,BSM,18,70
11157,BSN,47,42
11158,BSO,45,52
11159,BSP,44,5
11160,BSQ,50,21
11161,BSR,62,72
11162,BSS,40,60
11163,BST,20,58
11164,BSU,55,65
11165,BSV,59,3
11166,BSW,20,28
11167,BSX,20,72
11168,BSY,41,92
11169,BSZ,51,73
11170,BTA,32,14
11171,BTB,55,81
11172,BTC,18,48
11173,BTD,22,16
11174,BTE,48,53
11175,BTF,64,51
11176,BTG,27,3
11177,BTH,38,88
11178,BTI,38,28
11179,BTJ,39,6
11180,BTK,31,94
11181,BTL,18,14
11182,BTM,30,66
11183,BTN,65,8
11184,BTO,27,81
11185,BTP,47,60
11186,BTQ,27,34
11187,BTR,52,17
11188,BTS,65,52
11189,BTT,62,37
11190,BTU,40,50
11191,BTV,21,21
11192,BTW,46,15
11193,BTX,51,34
11194,BTY,53,16
11195,BTZ,27,17
11196,BUA,53,98
11197,BUB,51,75
11198,BUC,58,13
11199,BUD,59,51
11200,BUE,23,33
11201,BUF,56,88
11202,BUG,47,92
11203,BUH,51,89
11204,BUI,28,57
11205,BUJ,42,25
11206,BUK,49,41
11207,BUL,32,45
11208,BUM,26,69
11209,BUN,54,12
11210,BUO,25,17
11211,BUP,47,88
11212,BUQ,48,84
11213,BUR,39,9
11214,BUS,26,41
11215,BUT,51,40
11216,BUU,63,56
11217,BUV,39,30
11218,BUW,20,49
11219,BUX,22,11
11220,BUY,53,69
11221,BUZ,52,40
11222,BVA,18,91
11223,BVB,48,23
11224,BVC,50,83
11225,BVD,42,13
11226,BVE,31,55
11227,BVF,23,13
11228,BVG,63,10
11229,BVH,34,69
11230,BVI,23,96
11231,BVJ,61,42
11232,BVK,56,95
11233,BVL,33,40
11234,BVM,34,22
11235,BVN,35,39
11236,BVO,36,98
11237,BVP,49,55
11238,BVQ,48,49
11239,BVR,20,83
11240,BVS,49,47
11241,BVT,51,97
11242,BVU,61,37
11243,BVV,41,80
11244,BVW,20,79
11245,BVX,46,31
11246,BVY,24,42
11247,BVZ,55,56
11248,BWA,32,33
11249,BWB,21,41
11250,BWC,58,78
11251,BWD,50,75
11252,BWE,28,75
11253,BWF,36,20
11254,BWG,56,85
11255,BWH,52,85
11256,BWI,54,53
11257,BWJ,36,29
11258,BWK,22,71
11259,BWL,20,15
11260,BWM,22,15
11261,BWN,28,59
11262,BWO,43,3
11263,BWP,30,35
11264,BWQ,58,78
11265,BWR,63,82
